sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
彰化,彰化縣,40,,良好,0.5,0.25,37,29,10,6,8,9.5,1,1.7,26,"2025-05-11 10:00",,0.2,9.9,17,0,120.541519,24.066,33
西屯,臺中市,44,,良好,0.8,0.16,40,33,12,9,5,6,0.9,2.9,8,"2025-05-11 10:00",,0.1,10.8,18,0,120.616917,24.162197,32
忠明,臺中市,29,,良好,1.2,0.23,35,31,10,8,4,5.8,0.9,1.4,359,"2025-05-11 10:00",,0.2,6.7,15,0,120.641092,24.151958,31
大里,臺中市,40,,良好,1,0.28,26,31,14,13,8,10.7,2.1,2,352,"2025-05-11 10:00",,0.2,9.8,17,0,120.67844444,24.09961111,30
沙鹿,臺中市,37,,良好,0.6,0.19,40,36,10,2,4,5.2,0.8,3.6,30,"2025-05-11 10:00",,0.2,8.6,22,0,120.568794,24.225628,29
豐原,臺中市,33,,良好,0.5,0.21,27,25,17,8,3,4.7,1.2,1.3,23,"2025-05-11 10:00",,0.2,7.3,20,0,120.74252414,24.25699731,28
三義,苗栗縣,35,,良好,0.7,0.18,32,25,10,6,2,3.9,1.7,3.5,14,"2025-05-11 10:00",,0.2,8.8,21,0,120.75956754,24.38248443,27
苗栗,苗栗縣,38,,良好,1,0.21,41,32,4,7,6,7.4,1.2,1.9,13,"2025-05-11 10:00",,0.2,9.5,15,1,120.82011468,24.56499183,26
頭份,苗栗縣,39,,良好,1.5,0.27,44,40,11,10,9,10.8,1.4,2.5,38,"2025-05-11 10:00",,0.2,9.7,16,1,120.89869286,24.69690679,25
新竹,新竹市,42,,良好,0.1,0.28,57,45,10,11,8,8.7,0.5,1.9,33,"2025-05-11 10:00",,0.2,9.7,13,0,120.97236752,24.8056356,24
竹東,新竹縣,29,,良好,0.2,0.25,29,31,10,0,6,7.8,1.2,1.6,333,"2025-05-11 10:00",,0.1,4.9,14,0,121.08895493,24.74091408,23
湖口,新竹縣,48,,良好,0.6,0.22,65,52,14,15,5,5.8,0.6,2.9,44,"2025-05-11 10:00",,0.2,8,16,0,121.03886894,24.90009696,22
龍潭,桃園市,44,,良好,0.5,0.3,58,47,9,7,8,10.3,1.7,2.9,7,"2025-05-11 10:00",,0.2,7.9,12,0,121.21645772,24.86400048,21
平鎮,桃園市,47,,良好,0.3,0.28,61,51,11,11,7,8.2,0.5,1.8,47,"2025-05-11 10:00",,0.2,7.5,13,0,121.203986,24.952786,20
觀音,桃園市,50,,良好,1,0.18,66,54,22,14,5,5.8,0.5,3.8,72,"2025-05-11 10:00",,0.1,12.4,19,1,121.08283092,25.03556747,19
大園,桃園市,51,二氧化氮,普通,1.7,0.22,52,49,31,11,22,26.6,4.3,3.1,35,"2025-05-11 10:00",,0.2,11.9,24,1,121.20251473,25.06100357,18
桃園,桃園市,47,,良好,0.5,0.3,66,51,8,8,7,8.2,1,2.9,17,"2025-05-11 10:00",,0.2,8.8,10,0,121.30500531,24.9947107,17
大同,臺北市,57,細懸浮微粒,普通,0.8,0.59,32,32,21,16,30,41.8,11.5,-,-,"2025-05-11 10:00",,0.5,14.8,21,0,121.51342074,25.06331455,16
松山,臺北市,51,細懸浮微粒,普通,1,0.24,56,48,12,11,13,14.5,0.6,2.1,45,"2025-05-11 10:00",,0.2,12.5,17,1,121.578611,25.05,15
古亭,臺北市,47,,良好,0.4,0.24,60,51,13,9,6,7.8,1,1,60,"2025-05-11 10:00",,0.2,8.6,13,0,121.529556,25.020608,14
萬華,臺北市,41,,良好,0.5,0.28,53,44,12,8,13,15.4,1.5,2,91,"2025-05-11 10:00",,0.2,8.3,16,0,121.507972,25.046503,13
中山,臺北市,45,,良好,0.5,0.31,53,47,16,7,12,14.2,1.3,1.7,75,"2025-05-11 10:00",,0.2,11.1,18,0,121.526528,25.062361,12
士林,臺北市,43,,良好,0.9,0.28,53,46,9,5,10,11.6,1.3,1.5,82,"2025-05-11 10:00",,0.2,7.4,15,1,121.51666356,25.10334003,11
淡水,新北市,46,,良好,0.6,0.22,62,50,24,12,2,2.8,0.3,2.6,20,"2025-05-11 10:00",,0.2,10.5,22,0,121.449239,25.1645,10
林口,新北市,48,,良好,0.1,0.21,65,52,13,13,3,4.2,0.5,2.3,38,"2025-05-11 10:00",,0.2,6.8,13,0,121.36548982,25.07798949,9
菜寮,新北市,42,,良好,0.1,0.33,58,45,7,11,10,11.4,1.4,1.5,86,"2025-05-11 10:00",,0.2,10.4,15,0,121.481028,25.06895,8
新莊,新北市,46,,良好,0.5,0.21,62,50,15,11,8,9.4,1.3,2.1,29,"2025-05-11 10:00",,0.1,10.3,12,0,121.4325,25.037972,7
板橋,新北市,42,,良好,0.7,0.34,48,45,7,6,14,15.2,1.2,1.3,95,"2025-05-11 10:00",,0.2,6.7,13,0,121.458667,25.012972,6
土城,新北市,46,,良好,0.7,0.3,55,50,8,11,7,7.7,0.5,1.1,87,"2025-05-11 10:00",,0.2,10.3,14,0,121.451861,24.982528,5
新店,新北市,42,,良好,0.8,0.26,57,45,3,8,9,10,0.6,1.3,13,"2025-05-11 10:00",,0.1,7.4,12,0,121.537778,24.977222,4
汐止,新北市,51,細懸浮微粒,普通,0.2,0.25,62,50,20,16,6,7.9,1,1,37,"2025-05-11 10:00",,0.2,12.5,19,0,121.64081,25.06624,2
基隆,基隆市,71,臭氧八小時,普通,1,0.23,74,61,14,15,2,3.8,1.1,2.3,94,"2025-05-11 10:00",,0.2,12.7,23,0,121.760056,25.129167,1
屏東(枋山),屏東縣,44,,良好,0,0.16,44,48,15,3,2,2.1,0,4.2,318,"2025-05-11 09:00",,0.1,1.8,9,0,120.651472,22.260899,313
臺南（南化）,臺南市,22,,良好,0,0.19,19,21,8,4,2,2.6,0.2,3.9,265,"2025-05-11 09:00",,0.1,3.7,13,0,120.44583156,23.04562013,312
新北(樹林),新北市,46,,良好,0,0.25,48,50,3,3,12,13.2,0.5,0,250,"2025-05-11 09:00",,0.1,7,12,0,121.38352778,24.94902778,311
台中市（和平區消防隊）,臺中市,27,,良好,0.2,0.29,19,29,7,1,5,9.8,4.8,0.5,93,"2025-05-11 09:00",,0.1,1.5,10,0,120.883858,24.174592,310
屏東(琉球),屏東縣,31,,良好,1,0.21,36,34,32,10,6,8.1,1.2,5.5,325,"2025-05-11 09:00",,0.1,7.8,14,0,120.37722,22.35222,204
南投（鹿谷）,南投縣,34,,良好,1.2,0.14,28,37,18,5,2,3.1,1.1,0.4,12,"2025-05-11 09:00",,0.1,3.6,14,0,120.7944772,23.71867609,203
高雄(湖內),高雄市,33,,良好,0.6,0.29,28,26,20,9,12,13.7,1.5,0.9,55,"2025-05-11 09:00",,0.1,7,20,0,120.24535,22.87985556,202
宜蘭（三星）,宜蘭縣,35,,良好,0.4,0.14,22,38,11,4,,,,1.3,263,"2025-05-11 09:00",,0.1,8,16,0,121.6565272,24.6757916,201
員林,彰化縣,40,,良好,0.9,0.24,13,14,23,13,6,8,1.2,1.8,307,"2025-05-11 09:00",,0.2,10,16,0,120.5631893,23.9615945,139
大城,彰化縣,57,細懸浮微粒,普通,0.5,0.2,63,50,25,14,2,3,0.3,3.2,33,"2025-05-11 09:00",,0.2,14.6,32,1,120.26964167,23.85493056,85
富貴角,新北市,101,臭氧八小時,對敏感族群不健康,0.2,0.17,77,71,50,17,1,1.1,0,7.5,35,"2025-05-11 09:00",,0.1,15.4,46,0,121.53656894,25.29681695,84
麥寮,雲林縣,49,,良好,0.9,0.21,58,41,25,13,2,4.1,2,5.4,355,"2025-05-11 09:00",,0.2,12.2,27,1,120.251825,23.753506,83
關山,臺東縣,32,,良好,0.6,0.19,45,35,11,5,1,2.6,0.9,0.8,353,"2025-05-11 09:00",,0.1,6.5,14,0,121.161933,23.045083,80
馬公,澎湖縣,74,臭氧八小時,普通,0.9,0.27,64,62,30,22,2,3.5,0.9,4.9,18,"2025-05-11 09:00",,0.2,15.5,31,0,119.566158,23.569031,78
金門,金門縣,58,細懸浮微粒,普通,1.2,0.22,44,47,20,17,7,8.7,0.9,1.3,334,"2025-05-11 09:00",,0.2,15,24,1,118.312256,24.432133,77
馬祖,連江縣,61,臭氧八小時,普通,0.8,0.21,67,58,27,17,4,4.9,0.6,2,350,"2025-05-11 09:00",,0.2,15,29,0,119.952724,26.153736,75
埔里,南投縣,29,,良好,1.3,0.2,28,31,11,3,3,4.4,1.3,0.5,249,"2025-05-11 09:00",,0.1,5.6,15,1,120.967903,23.968842,72
復興,高雄市,29,,良好,0.5,0.34,33,31,11,9,11,12.6,1.5,1.6,259,"2025-05-11 09:00",,0.1,6.5,9,0,120.312017,22.608711,71
永和,新北市,44,,良好,0,0.38,46,43,8,8,11,13.1,2,1.1,100,"2025-05-11 09:00",,0.2,10.9,16,0,121.516306,25.017,70
竹山,南投縣,35,,良好,0.5,0.19,22,29,21,5,4,6.2,1.5,1.3,357,"2025-05-11 09:00",,0.1,6.6,21,0,120.677306,23.756389,69
中壢,桃園市,54,二氧化氮,普通,1.1,0.39,29,39,7,8,27,35.3,7.9,0.7,336,"2025-05-11 09:00",,0.3,10.5,15,1,121.221667,24.953278,68
三重,新北市,59,二氧化氮,普通,0.5,0.76,17,30,13,7,35,67.9,32,-,-,"2025-05-11 09:00",,0.4,12.3,19,0,121.493806,25.072611,67
冬山,宜蘭縣,38,,良好,0.2,0.2,31,41,11,8,6,7.4,1.1,0.9,323,"2025-05-11 09:00",,0.1,8.2,17,0,121.792928,24.632203,66
宜蘭,宜蘭縣,38,,良好,,0.17,34,41,9,13,2,2.8,0.5,1.1,197,"2025-05-11 09:00",,0.1,9.1,14,0,121.746394,24.747917,65
陽明,臺北市,71,臭氧八小時,普通,0.3,0.23,71,61,6,1,1,1.3,0.2,4,330,"2025-05-11 09:00",,0.2,5.2,12,0,121.529583,25.182722,64
花蓮,花蓮縣,36,,良好,0.7,0.22,37,39,15,4,2,3,0.4,1.3,237,"2025-05-11 09:00",,0.1,4.7,14,0,121.599769,23.971306,63
臺東,臺東縣,39,,良好,0.6,0.26,42,42,17,9,3,4.3,0.8,1.2,315,"2025-05-11 09:00",,0.2,7.2,15,0,121.15045,22.755358,62
恆春,屏東縣,46,,良好,,0.18,49,50,15,6,0,1.6,0.8,6.3,37,"2025-05-11 09:00",,0.1,5.4,12,0,120.788928,21.958069,61
潮州,屏東縣,20,,良好,0.2,0.18,26,17,9,4,3,3.6,0.4,3.5,296,"2025-05-11 09:00",,0.1,5,12,0,120.561175,22.523108,60
屏東,屏東縣,20,,良好,0.7,0.19,27,20,17,6,5,6.8,1.3,2.4,333,"2025-05-11 09:00",,0.1,4.9,12,0,120.488033,22.673081,59
小港,高雄市,38,,良好,0.6,0.27,33,29,15,13,11,13.1,1.4,1,341,"2025-05-11 09:00",,0.1,9.5,11,1,120.337736,22.565833,58
前鎮,高雄市,31,,良好,0.1,0.3,34,31,21,13,9,11.7,1.8,2.2,14,"2025-05-11 09:00",,0.2,7.7,16,0,120.30833356,22.6044507,57
前金,高雄市,30,,良好,0.4,0.26,35,32,21,10,8,9.7,1.1,2.5,358,"2025-05-11 09:00",,0.1,6.5,17,0,120.28676111,22.63390278,56
左營,高雄市,33,,良好,0.8,0.29,33,30,14,14,9,10.4,0.8,2.1,2,"2025-05-11 09:00",,0.1,8.2,14,0,120.292917,22.674861,54
楠梓,高雄市,43,,良好,1.3,0.23,31,29,24,13,8,8.9,0.6,1.2,18,"2025-05-11 09:00",,0.1,10.7,19,1,120.328289,22.733667,53
林園,高雄市,52,二氧化氮,普通,1.6,0.5,18,31,26,8,24,27.3,3.2,3.8,328,"2025-05-11 09:00",,0.2,7.3,19,0,120.41175,22.4795,52
大寮,高雄市,28,,良好,1,0.27,28,24,22,12,7,8.1,0.7,1.6,230,"2025-05-11 09:00",,0.1,6.8,17,1,120.425311,22.56413611,51
鳳山,高雄市,48,,良好,1,0.43,32,29,22,14,11,12.3,1.1,0.8,220,"2025-05-11 09:00",,0.2,12,17,1,120.357422,22.628126,50
仁武,高雄市,33,,良好,0.5,0.45,29,28,16,9,11,11.7,0.5,2.1,330,"2025-05-11 09:00",,0.2,8.1,14,1,120.332631,22.689056,49
橋頭,高雄市,37,,良好,0.6,0.24,34,30,21,15,8,10.4,1.4,1.5,31,"2025-05-11 09:00",,0.1,9.2,17,0,120.305689,22.757506,48
美濃,高雄市,22,,良好,0.5,0.2,30,22,8,4,3,3.7,0.3,0.4,266,"2025-05-11 09:00",,0.1,5,13,0,120.530542,22.883583,47
臺南,臺南市,43,,良好,0.7,0.27,35,34,23,11,9,10.6,0.7,2.8,21,"2025-05-11 09:00",,0.1,10.7,22,0,120.21947897,22.98928311,46
安南,臺南市,51,細懸浮微粒,普通,0.6,0.29,35,32,26,16,8,9.3,1,2.7,5,"2025-05-11 09:00",,0.2,12.6,22,0,120.2175,23.048197,45
善化,臺南市,35,,良好,1,0.25,29,26,22,9,6,7.7,1.1,1.9,25,"2025-05-11 09:00",,0.1,8.6,20,0,120.29740529,23.11337642,44
新營,臺南市,44,,良好,0.8,0.25,29,30,21,14,6,7.2,1,2,21,"2025-05-11 09:00",,0.2,11,21,0,120.31725,23.305633,43
嘉義,嘉義市,36,,良好,2.4,0.26,33,34,20,7,7,8.2,0.9,2.1,17,"2025-05-11 09:00",,0.2,9,21,1,120.44125148,23.46477865,42
臺西,雲林縣,48,,良好,1.5,0.22,58,44,27,14,5,6.3,0.6,6.6,21,"2025-05-11 09:00",,0.2,9.9,29,1,120.19933333,23.702175,41
朴子,嘉義縣,53,細懸浮微粒,普通,1,0.18,44,37,26,18,4,5.1,0.6,2.1,349,"2025-05-11 09:00",,0.1,13.2,22,1,120.2478,23.46538,40
新港,嘉義縣,41,,良好,1.5,0.28,35,36,25,11,7,9.1,1.2,2.5,27,"2025-05-11 09:00",,0.1,10.2,21,1,120.345531,23.554839,39
崙背,雲林縣,42,,良好,1,0.25,39,35,25,8,4,5.7,1,1.6,39,"2025-05-11 09:00",,0.2,10.3,22,0,120.348742,23.757547,38
斗六,雲林縣,36,,良好,1.2,0.23,33,34,21,11,4,6.5,2.3,1.5,344,"2025-05-11 09:00",,0.1,9,20,1,120.544994,23.711853,37
南投,南投縣,30,,良好,0.4,0.19,28,32,17,7,5,7.1,1.4,0.8,321,"2025-05-11 09:00",,0.1,5.7,17,0,120.685306,23.913,36
二林,彰化縣,42,,良好,1.7,0.27,38,36,34,13,5,6.5,0.9,3.7,32,"2025-05-11 09:00",,0.2,9.4,25,1,120.409653,23.925175,35
線西,彰化縣,43,,良好,1.1,0.19,41,38,19,10,10,11.9,1.8,3.8,36,"2025-05-11 09:00",,0.2,10.7,22,1,120.469061,24.131672,34
彰化,彰化縣,42,,良好,0.8,0.24,32,26,14,10,9,10.6,1.3,2.5,33,"2025-05-11 09:00",,0.2,10.5,19,0,120.541519,24.066,33
西屯,臺中市,44,,良好,0.9,0.19,38,31,14,14,6,7.8,1.1,3.3,11,"2025-05-11 09:00",,0.1,10.9,19,0,120.616917,24.162197,32
忠明,臺中市,27,,良好,1.3,0.26,28,29,20,9,7,8.5,1.2,1.4,342,"2025-05-11 09:00",,0.2,6.8,15,0,120.641092,24.151958,31
大里,臺中市,36,,良好,1.1,0.29,28,33,11,13,9,11.1,1.7,1.7,329,"2025-05-11 09:00",,0.2,9,17,0,120.67844444,24.09961111,30
沙鹿,臺中市,41,,良好,0.7,0.18,44,35,15,4,4,4.9,0.6,2.5,15,"2025-05-11 09:00",,0.2,10.1,24,0,120.568794,24.225628,29
豐原,臺中市,33,,良好,0.7,0.27,22,23,25,11,7,8.6,1.6,1.9,347,"2025-05-11 09:00",,0.2,7,20,0,120.74252414,24.25699731,28
三義,苗栗縣,40,,良好,0.9,0.19,33,24,13,11,3,5.6,1.7,3.6,11,"2025-05-11 09:00",,0.2,9.6,24,0,120.75956754,24.38248443,27
苗栗,苗栗縣,42,,良好,0.9,0.17,34,30,8,9,5,6.8,1.2,2,17,"2025-05-11 09:00",,0.2,10.5,19,1,120.82011468,24.56499183,26
頭份,苗栗縣,39,,良好,1.2,0.23,38,39,12,6,9,10.5,1.4,0.5,24,"2025-05-11 09:00",,0.2,9.6,18,1,120.89869286,24.69690679,25
新竹,新竹市,41,,良好,0,0.29,45,44,7,10,8,8.7,0.6,0.9,29,"2025-05-11 09:00",,0.2,9.5,14,0,120.97236752,24.8056356,24
竹東,新竹縣,29,,良好,0.2,0.24,28,31,8,3,5,6.5,1.1,0.9,103,"2025-05-11 09:00",,0.1,6,16,0,121.08895493,24.74091408,23
湖口,新竹縣,45,,良好,0.6,0.23,49,49,14,6,6,6.9,0.6,4.2,47,"2025-05-11 09:00",,0.2,6.5,16,0,121.03886894,24.90009696,22
龍潭,桃園市,43,,良好,0.6,0.29,51,46,6,7,8,10.6,1.9,2.5,68,"2025-05-11 09:00",,0.1,9,14,0,121.21645772,24.86400048,21
平鎮,桃園市,45,,良好,0.1,0.32,44,49,8,7,12,13.2,0.5,2.2,53,"2025-05-11 09:00",,0.2,7,14,0,121.203986,24.952786,20
觀音,桃園市,48,,良好,1,0.19,68,52,14,15,4,5.5,0.6,4.3,63,"2025-05-11 09:00",,0.1,11.9,19,1,121.08283092,25.03556747,19
大園,桃園市,51,二氧化氮,普通,1.4,0.24,53,48,26,17,22,29.1,6.2,4.5,40,"2025-05-11 09:00",,0.2,11.9,22,1,121.20251473,25.06100357,18
桃園,桃園市,45,,良好,0.5,0.32,50,49,3,8,9,10.9,1.2,1.9,12,"2025-05-11 09:00",,0.2,9.3,12,0,121.30500531,24.9947107,17
大同,臺北市,64,二氧化氮,普通,1,0.83,17,33,20,10,42,68.7,26.2,-,-,"2025-05-11 09:00",,0.4,14.3,21,0,121.51342074,25.06331455,16
松山,臺北市,52,細懸浮微粒,普通,1,0.26,48,44,13,12,17,17.7,0.5,1.6,61,"2025-05-11 09:00",,0.2,12.9,18,1,121.578611,25.05,15
古亭,臺北市,45,,良好,0.3,0.25,58,49,6,7,6,7.4,1,1.3,62,"2025-05-11 09:00",,0.2,9.2,14,0,121.529556,25.020608,14
萬華,臺北市,40,,良好,0.6,0.37,38,43,10,8,16,18.3,1.3,0.8,97,"2025-05-11 09:00",,0.2,8.4,16,0,121.507972,25.046503,13
中山,臺北市,48,,良好,0.6,0.32,48,46,12,8,15,16.7,1.3,2,76,"2025-05-11 09:00",,0.2,11.8,18,0,121.526528,25.062361,12
士林,臺北市,43,,良好,0.9,0.29,37,46,6,3,14,15.3,1.3,0.4,184,"2025-05-11 09:00",,0.2,8.1,17,1,121.51666356,25.10334003,11
淡水,新北市,45,,良好,0.5,0.23,69,49,24,12,3,3.6,0.4,1.8,20,"2025-05-11 09:00",,0.2,10.6,23,0,121.449239,25.1645,10
林口,新北市,47,,良好,0.1,0.22,66,51,7,1,4,4.9,0.4,3.9,44,"2025-05-11 09:00",,0.2,6.2,14,0,121.36548982,25.07798949,9
菜寮,新北市,43,,良好,0.1,0.34,39,44,9,9,18,20.7,1.9,2.3,356,"2025-05-11 09:00",,0.2,10.4,17,0,121.481028,25.06895,8
新莊,新北市,45,,良好,0.5,0.22,52,49,3,8,6,7.9,1,4,27,"2025-05-11 09:00",,0.1,10,12,0,121.4325,25.037972,7
板橋,新北市,42,,良好,0.6,0.35,36,45,7,6,13,14.4,1,0.6,140,"2025-05-11 09:00",,0.2,6.8,15,0,121.458667,25.012972,6
土城,新北市,45,,良好,0.7,0.29,51,49,7,9,6,7.3,0.5,0.6,8,"2025-05-11 09:00",,0.2,10.4,15,0,121.451861,24.982528,5
新店,新北市,41,,良好,0.7,0.25,42,44,6,4,7,8.3,0.5,0.9,160,"2025-05-11 09:00",,0.1,7.7,14,0,121.537778,24.977222,4
汐止,新北市,48,,良好,0.4,0.24,57,45,19,14,7,8.5,1.1,1,39,"2025-05-11 09:00",,0.2,12,19,0,121.64081,25.06624,2
基隆,基隆市,53,細懸浮微粒,普通,1,0.22,71,55,21,12,2,3.3,1.1,1.9,86,"2025-05-11 09:00",,0.2,13.2,26,0,121.760056,25.129167,1
屏東(枋山),屏東縣,44,,良好,0,0.14,35,48,13,1,2,2.4,0.2,0.5,178,"2025-05-11 08:00",,0.1,1.7,8,0,120.651472,22.260899,313
臺南（南化）,臺南市,25,,良好,0,0.19,17,19,16,3,2,2.6,0.2,3.7,145,"2025-05-11 08:00",,0.1,3.8,15,0,120.44583156,23.04562013,312
新北(樹林),新北市,47,,良好,0,0.24,44,51,6,3,14,16.1,1.4,0.1,235,"2025-05-11 08:00",,0.1,8.4,15,0,121.38352778,24.94902778,311
台中市（和平區消防隊）,臺中市,27,,良好,0.1,0.24,18,29,12,2,4,7.8,2.9,0.4,79,"2025-05-11 08:00",,0.1,1.9,11,0,120.883858,24.174592,310
屏東(琉球),屏東縣,31,,良好,1.4,0.28,33,34,10,11,6,8.3,1.3,4.2,321,"2025-05-11 08:00",,0.1,7,10,0,120.37722,22.35222,204
南投（鹿谷）,南投縣,32,,良好,1.3,0.13,36,35,16,6,1,2.7,1.1,0.2,31,"2025-05-11 08:00",,0.1,3.2,14,0,120.7944772,23.71867609,203
高雄(湖內),高雄市,35,,良好,0.8,0.23,28,23,23,5,7,7.7,0.6,1,41,"2025-05-11 08:00",,0.1,6.7,21,0,120.24535,22.87985556,202
宜蘭（三星）,宜蘭縣,38,,良好,0.5,0.13,28,41,11,7,1,1.2,0,1.4,276,"2025-05-11 08:00",,0.1,8.2,17,0,121.6565272,24.6757916,201
員林,彰化縣,36,,良好,0.8,0.22,11,13,19,9,6,7.6,1.3,1.4,25,"2025-05-11 08:00",,0.2,9,15,0,120.5631893,23.9615945,139
大城,彰化縣,55,細懸浮微粒,普通,0.9,0.2,57,46,36,17,4,5.1,0.5,3.5,23,"2025-05-11 08:00",,0.2,14,33,1,120.26964167,23.85493056,85
富貴角,新北市,97,臭氧八小時,普通,0.3,0.19,82,69,56,15,1,1.3,0,11.3,30,"2025-05-11 08:00",,0.1,14.9,45,0,121.53656894,25.29681695,84
麥寮,雲林縣,48,,良好,1.4,0.25,45,36,34,12,5,7.2,2.2,4.3,343,"2025-05-11 08:00",,0.2,11.9,27,1,120.251825,23.753506,83
關山,臺東縣,31,,良好,0.6,0.21,42,34,14,5,2,3.6,1,0.9,7,"2025-05-11 08:00",,0.1,6.8,15,0,121.161933,23.045083,80
馬公,澎湖縣,71,臭氧八小時,普通,0.8,0.25,61,61,26,11,2,3.6,0.9,5.3,4,"2025-05-11 08:00",,0.2,15,32,0,119.566158,23.569031,78
金門,金門縣,58,細懸浮微粒,普通,1.1,0.21,45,47,22,16,7,8,0.8,1.2,17,"2025-05-11 08:00",,0.2,15.1,25,1,118.312256,24.432133,77
馬祖,連江縣,58,細懸浮微粒,普通,0.7,0.2,67,56,28,17,3,4.4,0.6,2,330,"2025-05-11 08:00",,0.2,14.9,30,0,119.952724,26.153736,75
埔里,南投縣,27,,良好,1.3,0.18,27,29,16,6,3,4.1,1.1,1.1,300,"2025-05-11 08:00",,0.1,6,15,1,120.967903,23.968842,72
復興,高雄市,28,,良好,0.4,0.28,31,30,11,6,9,11,1.3,0.7,233,"2025-05-11 08:00",,0.1,5.9,8,0,120.312017,22.608711,71
永和,新北市,47,,良好,0,0.49,33,44,11,7,17,21.4,3.4,0.9,94,"2025-05-11 08:00",,0.2,11.7,19,0,121.516306,25.017,70
竹山,南投縣,37,,良好,0.3,0.16,25,27,20,8,3,4.4,0.7,1.3,115,"2025-05-11 08:00",,0.1,7.4,22,0,120.677306,23.756389,69
中壢,桃園市,54,二氧化氮,普通,1.1,0.55,26,41,11,11,27,35.6,8.3,0.2,284,"2025-05-11 08:00",,0.3,10.9,17,1,121.221667,24.953278,68
三重,新北市,59,二氧化氮,普通,0.4,0.68,21,31,14,15,34,61.2,26.6,-,-,"2025-05-11 08:00",,0.4,13,20,0,121.493806,25.072611,67
冬山,宜蘭縣,38,,良好,0.2,0.2,34,41,12,5,5,5.7,0.7,0.6,307,"2025-05-11 08:00",,0.1,8.5,19,0,121.792928,24.632203,66
宜蘭,宜蘭縣,39,,良好,0,0.16,33,42,11,4,2,2.7,0.6,0.7,204,"2025-05-11 08:00",,0.1,8.8,16,0,121.746394,24.747917,65
陽明,臺北市,67,臭氧八小時,普通,0.2,0.23,67,60,4,2,0,1.3,0.5,1,310,"2025-05-11 08:00",,0.2,6.4,14,0,121.529583,25.182722,64
花蓮,花蓮縣,36,,良好,0.7,0.22,30,39,13,3,3,3.4,0.4,1.7,244,"2025-05-11 08:00",,0.2,5.6,14,0,121.599769,23.971306,63
臺東,臺東縣,40,,良好,0.6,0.23,38,43,12,4,2,3.2,0.5,1.6,322,"2025-05-11 08:00",,0.1,7.1,15,0,121.15045,22.755358,62
恆春,屏東縣,47,,良好,0,0.18,50,51,15,6,0,1.6,1,6.6,43,"2025-05-11 08:00",,0.1,5.1,12,0,120.788928,21.958069,61
潮州,屏東縣,23,,良好,0.3,0.14,27,15,14,5,2,2.7,0.2,1.9,28,"2025-05-11 08:00",,0.1,5.2,14,0,120.561175,22.523108,60
屏東,屏東縣,17,,良好,0.6,0.2,27,17,2,2,5,6,0.8,1.6,329,"2025-05-11 08:00",,0.1,4.3,10,0,120.488033,22.673081,59
小港,高雄市,38,,良好,0.6,0.28,25,27,7,9,16,18.2,1.6,3.8,263,"2025-05-11 08:00",,0.1,8.6,10,1,120.337736,22.565833,58
前鎮,高雄市,28,,良好,0.1,0.33,32,30,17,8,9,11.7,1.7,1.9,359,"2025-05-11 08:00",,0.1,6.5,14,0,120.30833356,22.6044507,57
前金,高雄市,28,,良好,0.4,0.21,35,30,21,12,5,6.3,0.9,4,357,"2025-05-11 08:00",,0.1,5.5,17,0,120.28676111,22.63390278,56
左營,高雄市,29,,良好,0.6,0.23,31,28,18,10,6,7.6,0.7,1.6,3,"2025-05-11 08:00",,0.1,7.1,16,0,120.292917,22.674861,54
楠梓,高雄市,41,,良好,1,0.22,31,26,18,10,6,6.7,0.7,2.4,350,"2025-05-11 08:00",,0.1,10.2,18,1,120.328289,22.733667,53
林園,高雄市,31,,良好,0.4,0.18,32,33,15,7,4,4.5,0.4,1.9,298,"2025-05-11 08:00",,0.1,6.3,17,0,120.41175,22.4795,52
大寮,高雄市,25,,良好,2.9,0.2,27,23,15,7,8,8.9,0.7,2,297,"2025-05-11 08:00",,0.1,5.6,15,1,120.425311,22.56413611,51
鳳山,高雄市,46,,良好,0.9,0.37,30,27,21,12,8,8.8,0.7,1.9,281,"2025-05-11 08:00",,0.2,11.4,16,1,120.357422,22.628126,50
仁武,高雄市,31,,良好,0.2,0.27,26,27,16,10,11,11.3,0.1,2.8,340,"2025-05-11 08:00",,0.2,7.7,14,1,120.332631,22.689056,49
橋頭,高雄市,32,,良好,0.4,0.24,30,27,23,10,6,7.3,1.1,2.5,1,"2025-05-11 08:00",,0.1,8,17,0,120.305689,22.757506,48
美濃,高雄市,22,,良好,0.6,0.21,,18,14,5,3,3.9,0.4,1.3,324,"2025-05-11 08:00",,0.1,5.2,13,0,120.530542,22.883583,47
臺南,臺南市,44,,良好,0.9,0.27,33,33,29,12,9,10,0.7,2.4,13,"2025-05-11 08:00",,0.1,11,23,0,120.21947897,22.98928311,46
安南,臺南市,48,,良好,0.8,0.3,32,29,28,16,7,9.1,1.1,1.6,1,"2025-05-11 08:00",,0.2,11.9,21,0,120.2175,23.048197,45
善化,臺南市,32,,良好,1.5,0.25,29,23,25,13,6,7.1,1.1,2,359,"2025-05-11 08:00",,0.1,8,19,0,120.29740529,23.11337642,44
新營,臺南市,44,,良好,1.1,0.24,32,27,30,10,5,6.5,0.9,1.9,32,"2025-05-11 08:00",,0.2,10.8,21,0,120.31725,23.305633,43
